,ck_trieda,ck_cislo,spravcovske_cislo,ID_most,rok_postavenia,stav_kod,stav_slovom,lon,lat,rok_data
58,Cesta III. triedy,1379,,M9798,2019.0,-1,Neznámy,17.41571,48.01867,2021
59,Diaľnica,D00001,SO 207-00,M9938,2021.0,-1,Neznámy,18.7,49.18914,2021
60,Cesta II. triedy,000572A,,M9870,2019.0,-1,Neznámy,17.25076,48.13177,2021
61,Diaľnica,D00001,260,M470,2007.0,-1,Neznámy,20.096155308,49.069807067,2021
62,Cesta II. triedy,000572A,,M9823,2019.0,-1,Neznámy,17.26529,48.12978,2021
63,Diaľnica,D00001,323,M9623,2003.0,-1,Neznámy,20.81068,49.0089,2021
64,Cesta II. triedy,000572A,,M9824,2019.0,-1,Neznámy,17.26822,48.12874,2021
65,Diaľnica,R00002,15,M7363,2006.0,-1,Neznámy,20.346341271,48.448160749,2021
66,Diaľnica,R00003,5,M9592,2009.0,-1,Neznámy,19.62978,49.37265,2021
67,Diaľnica,R00003,6,M9591,2009.0,-1,Neznámy,19.63373,49.3646,2021
68,Diaľnica,R00003,7,M9590,2009.0,-1,Neznámy,19.63405,49.36249,2021
69,Diaľnica,R00003,8,M9587,2009.0,-1,Neznámy,19.63342,49.36112,2021
70,Diaľnica,R00003,008.1,M9589,2009.0,-1,Neznámy,19.63305,49.36115,2021
71,Diaľnica,D00001,265,M9444,2009.0,-1,Neznámy,20.14747,49.06426,2021
72,Diaľnica,R00003,9,M9435,2010.0,-1,Neznámy,19.626007,49.358344,2021
73,Diaľnica,R00003,11,M9436,2010.0,-1,Neznámy,19.617273,49.352815,2021
74,Diaľnica,R00003,12,M9437,2010.0,-1,Neznámy,19.603287,49.352073,2021
75,Diaľnica,D00001,267,M9445,2009.0,-1,Neznámy,20.164292,49.067285,2021
76,Diaľnica,D00001,268,M9446,2009.0,-1,Neznámy,20.178179,49.06522,2021
77,Cesta I. triedy,59,102B,M9544,1996.0,-1,Neznámy,19.6584,49.40764,2021
78,Cesta I. triedy,59,102A,M9174,1912.0,-1,Neznámy,19.6583,49.40765,2021
79,Diaľnica,R00003,13,M9438,2010.0,-1,Neznámy,19.597173,49.351996,2021
80,Diaľnica,R00003,14,M9439,2010.0,-1,Neznámy,19.587702,49.350582,2021
81,Diaľnica,R00003,15,M9440,2010.0,-1,Neznámy,19.586192,49.350109,2021
82,Diaľnica,R00003,16,M9441,2010.0,-1,Neznámy,19.576106,49.345092,2021
83,Diaľnica,R00003,17,M9442,2010.0,-1,Neznámy,19.572738,49.346105,2021
84,Diaľnica,R00003,obj. 208,M5512,2007.0,-1,Neznámy,19.407094838,49.261316544,2021
85,Diaľnica,D00001,259,M2885,2007.0,-1,Neznámy,20.090869318,49.067235408,2021
86,Diaľnica,D00001,obj. 211,M4557,2008.0,-1,Neznámy,20.082419344,49.066517515,2021
87,Diaľnica,D00001,255,M5871,2008.0,-1,Neznámy,20.045440539,49.068589157,2021
88,Cesta II. triedy,000572A,,M9832,2019.0,-1,Neznámy,17.25075,48.13185,2021
89,Cesta III. triedy,1377,,M9800,2019.0,-1,Neznámy,17.37184,48.029,2021
90,Diaľnica,R00001,144,M9467,2010.0,-1,Neznámy,18.889645,48.588502,2021
91,Diaľnica,R00002,118,M9606,2015.0,-1,Neznámy,19.39181,48.54048,2021
92,Diaľnica,D00001,SO 206-00,M9937,2021.0,-1,Neznámy,18.68933,49.19367,2021
93,Diaľnica,D00001,SO 205-00,M9936,2021.0,-1,Neznámy,18.68055,49.19917,2021
94,Diaľnica,R00002,117,M9607,2015.0,-1,Neznámy,19.37724,48.54044,2021
95,Diaľnica,R00002,116,M9611,2015.0,-1,Neznámy,19.36395,48.54093,2021
